fire_year,general_cause_desc,isNaturalCaused,true_cause,assessment_hectares,current_size,fire_spread_rate,fire_type,fire_position_on_slope,weather_conditions_over_fire,temperature,relative_humidity,wind_direction,wind_speed
2006,Resident,0,Permit Related,0.01,0.1,0,Surface,Flat,Clear,18,10,SW,2
2006,Incendiary,0,Arson Suspected,0.2,0.2,0,Surface,Lower 1/3,Clear,12,22,SW,10
2006,Incendiary,0,Arson Suspected,0.5,0.5,0,Surface,Bottom,Clear,12,22,SW,10
2006,Incendiary,0,Arson Suspected,0.01,0.01,0,Surface,Flat,Clear,12,22,SW,10
2006,Other Industry,0,Permit Related,0.1,0.1,0.1,Surface,Flat,Clear,6,37,SW,2
2006,Resident,0,Unsafe Fire,0.2,0.2,0,Surface,Flat,Clear,11,32,S,20
2006,Undetermined,0,,0.01,0.01,0,Surface,Flat,Cloudy,11,25,W,10
2006,Resident,0,Permit Related,0.01,0.01,0,Surface,Flat,Clear,16,17,E,2
2006,Forest Industry,0,Abandoned Fire,0.2,0.2,0,Ground,Flat,Clear,11,35,W,7
2006,Resident,0,Burning Substance,0.6,0.6,0,Surface,Flat,Cloudy,11,44,NW,4
2006,Lightning,1,,0.01,0.01,0,Ground,Flat,Clear,28,29,W,3
2006,Recreation,0,Unattended Fire,0.01,0.01,0,Surface,Flat,Clear,26,22,SW,25
2006,Lightning,1,,0.01,0.01,1,Surface,Flat,CB Wet,25,60,W,15
2006,Lightning,1,,0.01,0.01,0,Surface,Lower 1/3,Clear,35,32,W,5
2006,Lightning,1,,0.01,0.01,0.1,Surface,Flat,Rainshowers,15,45,W,10
2006,Lightning,1,,0.01,0.05,0,Surface,Upper 1/3,Cloudy,10,8,CLM,0
2006,Lightning,1,,0.01,0.01,0,Ground,Flat,Rainshowers,13.2,90,SW,2
2006,Lightning,1,,2,65,12,Crown,Flat,Clear,27,30,W,15
2006,Lightning,1,,1,0.6,1,Surface,Middle 1/3,Clear,27,38,N,7
2006,Restart,0,,0.3,0.2,0,Surface,Flat,Clear,25,45,NW,7
2006,Recreation,0,Abandoned Fire,0.01,0.01,0,Surface,Bottom,Rainshowers,18,40,E,10
2006,Resident,0,Unsafe Fire,0.01,0.01,0,Surface,Flat,Clear,15,70,W,10
2006,Recreation,0,Abandoned Fire,0.5,0.72,0.5,Ground,Flat,Clear,20,59,SE,4
2006,Lightning,1,,0.01,0.5,1.5,Crown,Flat,CB Wet,28,30,NW,12
2006,Lightning,1,,0.3,0.3,0.5,Surface,Flat,Clear,28,30,NW,15
2006,Lightning,1,,0.01,0.01,0,Surface,Flat,CB Dry,17,40,NW,10
2006,Resident,0,Abandoned Fire,0.01,0.01,0,Ground,Flat,Clear,22,37,W,10
2006,Resident,0,Unpredictable Event,0.01,0.01,0,Surface,Flat,Cloudy,20,40,SW,5
2006,Lightning,1,,0.8,0.8,3,Surface,Flat,Cloudy,24,40,NW,20
2006,Lightning,1,,0.2,0.2,2,Surface,Flat,Cloudy,24,45,NW,10
2006,Undetermined,0,,0.01,0.01,0,Surface,Flat,Clear,25,18,W,2
2006,Restart,0,,1,1,5,Crown,Flat,Clear,20,35,SW,15
2006,Lightning,1,,0.01,0.01,0,Ground,Flat,Cloudy,17,57,E,7
2006,Lightning,1,,0.25,0.25,0,Surface,Middle 1/3,Clear,26,20,W,5
2006,Lightning,1,,0.01,0.01,0,Surface,Flat,Cloudy,23,55,NE,5
2006,Lightning,1,,0.01,0.01,1,Surface,Middle 1/3,Cloudy,20,40,CLM,0
2006,Lightning,1,,0.01,0.03,2,Surface,Flat,Cloudy,20,69,SW,2
2006,Lightning,1,,0.01,0.01,0,Surface,Flat,Clear,25,42,NE,5
2006,Lightning,1,,0.01,0.01,0,Ground,Flat,CB Wet,20,65,SW,5
2006,Lightning,1,,0.01,0.01,0,Surface,Lower 1/3,Clear,15,50,N,5
2006,Resident,0,Permit Related,0.1,0.1,0,Surface,Flat,Clear,22,37,SE,5
2006,Lightning,1,,0.01,0.01,0,Ground,Flat,Clear,20,37,CLM,0
2006,Lightning,1,,0.1,0.2,2,Surface,Middle 1/3,Cloudy,25,55,N,5
2006,Oil & Gas Industry,0,Burning Substance,0.01,0.01,0,Ground,Flat,Cloudy,21,35,NW,5
2006,Restart,0,,0.2,0.5,1,Surface,Flat,CB Dry,29,27,SW,2
2006,Lightning,1,,0.01,0.01,1,Surface,Flat,Clear,27,30,NE,5
2006,Lightning,1,,0.05,0.2,0,Ground,Upper 1/3,Clear,27,23,NE,5
2006,Resident,0,Abandoned Fire,0.1,0.1,0.1,Surface,Flat,Clear,19,32,SW,4
2006,Resident,0,Permit Related,0.01,0.01,0,Ground,Flat,Cloudy,24,58,CLM,0
2006,Lightning,1,,0.01,0.01,0.5,Surface,Flat,Rainshowers,29,50,CLM,0
2006,Lightning,1,,0.3,0.3,1,Crown,Flat,Cloudy,27,30,W,1
2006,Resident,0,Permit Related,0.01,0.01,0,Surface,Flat,Cloudy,23,52,CLM,0
2006,Lightning,1,,0.01,0.01,0,Surface,Upper 1/3,Cloudy,18,50,NE,15
2006,Resident,0,Abandoned Fire,0.01,0.01,0,Ground,Flat,Cloudy,15,50,E,15
2006,Lightning,1,,0.01,0.01,0.1,Surface,Upper 1/3,Cloudy,26,35,SE,10
2006,Undetermined,0,,0.01,0.01,0,Ground,Flat,Cloudy,21.4,35,S,16
2006,Forest Industry,0,Unpredictable Event,0.01,0.01,0,Surface,Flat,Clear,17,55,W,10
2006,Lightning,1,,0.01,0.13,0.1,Ground,Upper 1/3,Clear,24,20,W,10
2006,Lightning,1,,0.01,0.01,0,Surface,Flat,Cloudy,16,60,NW,5
2006,Recreation,0,Abandoned Fire,0.01,0.01,0,Surface,Flat,Clear,24,33,E,9
2006,Lightning,1,,0.5,0.5,5,Surface,Middle 1/3,Clear,23,30,W,15
2006,Lightning,1,,0.5,2851.4,10,Surface,Flat,CB Dry,27,30,SE,25
2006,Lightning,1,,35,35,0,Ground,Flat,Cloudy,21,35,NE,10
2006,Lightning,1,,0.25,0.25,0.5,Surface,Flat,CB Dry,17,73,NW,10
2006,Lightning,1,,7,470,1.5,Crown,Flat,Clear,29,26,SW,33
2006,Recreation,0,Abandoned Fire,0.01,0.01,0,Ground,Flat,Cloudy,14.5,62,SE,5
2006,Resident,0,Permit Related,0.01,0.01,0,Surface,Flat,Clear,15,77,SW,10
2006,Lightning,1,,0.01,0.01,0.2,Surface,Flat,Cloudy,18,35,N,10
2006,Lightning,1,,0.01,584,2,Crown,Flat,Clear,14,71,SE,20
2006,Lightning,1,,0.01,473,3,Crown,Flat,Clear,29,26,SW,33
2006,Resident,0,Unpredictable Event,0.01,0.01,0,Surface,Flat,Clear,18,40,NE,5
2006,Recreation,0,Abandoned Fire,0.01,0.01,0,Surface,Flat,Clear,18,51,SE,8
2006,Restart,0,,0.01,0.01,0.1,Surface,Middle 1/3,CB Dry,21,40,CLM,0
2006,Resident,0,Permit Related,0.01,0.01,0,Ground,Flat,Cloudy,18,38,NW,10
2006,Lightning,1,,0.01,0.01,0.1,Surface,Flat,CB Wet,15,100,S,5
2006,Lightning,1,,0.03,0.03,0,Surface,Flat,Cloudy,16,40,W,5
2006,Oil & Gas Industry,0,Burning Substance,0.01,0.01,0,Ground,Flat,Clear,24,47,CLM,0
2006,Lightning,1,,2,0.9,35,Crown,Flat,CB Wet,25,26,W,20
2006,Resident,0,Unattended Fire,1,0.3,1,Ground,Flat,Cloudy,22,40,NW,20
2006,Lightning,1,,0.1,0.01,0.1,Surface,Flat,CB Dry,23,32,E,3
2006,Lightning,1,,0.01,0.01,0,Surface,Flat,Cloudy,17,67,N,6
2006,Resident,0,Burning Substance,0.01,0.01,3,Surface,Flat,Clear,18,44,SW,18
2006,Lightning,1,,0.01,0.01,0,Surface,Flat,Clear,25,40,S,5
2006,Resident,0,Permit Related,0.4,0.4,4,Surface,Flat,Clear,33,44,CLM,0
